time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1691262330799981000,537.4089809570313,2613.895257730037,1.2326561745191416,28.193013683098027,4.976798166592286,2592.574441689998,255.24813110383832,4.737656880388701,3.373298729210686,-73.82033610357995,1.9174261911829587
1691262331799960600,538.4089606933594,2613.8709178809077,1.2166211618581753,27.598901125534987,4.976790684184712,2592.5501018408686,250.97735584860487,4.737854984723777,3.373020482670821,-73.82035312061187,1.9846900690408187
1691262332799941400,539.40894140625,2614.142823458649,1.1973772986183204,25.066725950727985,4.97678255619071,2592.82200741861,248.8907975339054,4.737818520251351,3.37307170127647,-73.82037263187942,2.203527453990937
1691262333799920600,540.4089206542968,2613.921924514696,1.210289029941501,23.550278998646757,4.976776606871543,2592.601108474657,251.72908242022785,4.738047124365468,3.372750580769493,-73.82039386811756,2.3455107131968314
1691262334799900400,541.408900390625,2614.124924549833,1.2129431170586331,21.96785589940846,4.976771051823618,2592.804108509794,254.58382056362885,4.7377295681708675,3.3731966399349327,-73.8204165605507,2.49921378244217
1691262335799881000,542.408880859375,2613.9596886625513,1.205581060272121,21.342762666986594,4.976762770505904,2592.6388726225123,252.1564220102297,4.738911481894327,3.371536000038996,-73.82043906232339,2.6092642261949366
1691262336799861000,543.4088610839843,2613.8789582829922,1.1987463341323326,20.518170604820032,4.976753963555324,2592.558142242953,251.32216506805014,4.738831164230267,3.3716488888537683,-73.82046267954235,2.736539543683842
1691262337799840000,544.4088400878907,2613.793538561091,1.189232205418315,19.54649342329496,4.976744254544777,2592.4727225210518,250.2892530802955,4.738770282427306,3.371734456206874,-73.82048784828768,2.90429143785233
1691262338799819500,545.4088195800781,2613.78554279916,1.1902955427888633,19.239589628001514,4.976736031353872,2592.464726759121,251.70493485917524,4.738787070336818,3.3717108616839364,-73.82051332084781,2.9320845148109163
1691262339799800000,546.4088000488281,2613.8797065764666,1.2039724160744303,19.192476961765518,4.976729211450509,2592.5588905364275,254.49210305375544,4.739122143797345,3.371239881550777,-73.82053868909952,2.8963529864405784
1691262340799779300,547.408779296875,2613.966297963634,1.2115034353086112,19.777969502002172,4.97672411700737,2592.645481923595,256.5592705572425,4.739326833983127,3.370952119724679,-73.82056250632631,2.768863055422506
1691262341799760000,548.408759765625,2614.009996329434,1.2310950199530275,20.316571817917943,4.976723123941412,2592.689180289395,261.982039183633,4.739601247750012,3.3705662795909177,-73.82058589468171,2.6300556983443193
1691262342799740000,549.4087399902344,2613.759429245256,1.2479860970509475,21.347697285901965,4.976724979715277,2592.438613205217,267.572531388329,4.739728050930871,3.3703879652063633,-73.82060661421099,2.4638514366725923
1691262343799720000,550.4087199707031,2613.6840493408963,1.2507666422255548,21.078225227041646,4.97672643185087,2592.3632333008572,269.869591658194,4.737647380678881,3.3733120711157714,-73.82062870198718,2.4932808748192374
1691262344799699500,551.4086994628906,2613.572731920518,1.248500429206865,20.57933403122096,4.976727881570693,2592.251915880479,271.6233060609101,4.737345945194408,3.373735382085994,-73.82065125631455,2.546402285820525
1691262345799678700,552.4086787109375,2613.551583682187,1.2485858292818344,21.061176522589786,4.9767307946037755,2592.230767642148,273.44779537009777,4.737705202743461,3.373230861457066,-73.82067205098632,2.4960833770347777
1691262346799659300,553.4086591796874,2613.4982992187142,1.246041734936749,21.407607543868384,4.976735661057587,2592.177483178675,276.77769426519274,4.7381925880573785,3.3725462237405957,-73.82069356570045,2.4712215313030232
1691262347799639300,554.4086394042969,2613.5347897764295,1.2464220037936187,21.99166812382579,4.976738614583834,2592.2139737363905,277.5550435087374,4.738726218265857,3.371796384882784,-73.82071410783566,2.4123231462404306
1691262348799619000,555.408619140625,2613.5840642005205,1.2367165678227883,21.593602091652798,4.97674432343124,2592.2632481604815,280.8778637440912,4.738636634540522,3.3719222824049946,-73.82073659627322,2.4742662730075975
1691262349799598300,556.4085983886719,2613.547080541961,1.2365481598369874,22.924522057940003,4.9767495681349505,2592.226264501922,282.60309998372105,4.738729472892483,3.371791810822396,-73.82075625746349,2.343061086312985
1691262350799577900,557.4085778808594,2613.484582078643,1.2462604166548896,24.212105402068868,4.976752520697643,2592.163766038604,280.2526616312483,4.738845000194655,3.3716294424089592,-73.8207750088116,2.198196507597963
1691262351799558700,558.40855859375,2613.4225561683998,1.2487531401928762,26.06888881335545,4.976756118635777,2592.1017401283607,281.181101123613,4.739233394878328,3.3710834848248528,-73.82079249367948,2.044922369336109
1691262352799538700,559.4085385742187,2613.823959621601,1.229397845279458,32.97225596699887,4.97676124309987,2592.5031435815617,286.06314563362935,4.738580457832997,3.37200122737701,-73.82080285510668,1.6286272688654846
1691262353799518500,560.4085185546875,2613.191371121444,1.2496206189613945,22.981305214343408,4.976769460276217,2591.8705550814047,287.237612488508,4.738644078332953,3.3719118214551327,-73.82082788726304,2.343209352775221
1691262354799498200,561.4084982910156,2614.1494341390207,1.203466000965377,22.09691116035619,4.976779434230118,2592.8286180989817,290.0496517635295,4.740432062388545,3.369397705030904,-73.8208490300191,2.511076856639751
1691262355799477500,562.4084775390625,2614.0729327322915,1.1964861407459104,23.212536591486305,4.976790104761947,2592.7521166922525,294.52179186246235,4.740794746647104,3.3688873835365967,-73.820868137207,2.450839926728195
1691262356799457000,563.40845703125,2613.8993476191536,1.1965632763367688,22.43188696037314,4.976801880351109,2592.5785315791145,297.28330102582476,4.741093057576499,3.3684675524916012,-73.82088965953045,2.5829177957555918
1691262357799437600,564.4084375,2613.9160257801414,1.1851025085564035,21.960798577844404,4.9768144830582175,2592.5952097401023,298.53762621692516,4.7414905043702,3.3679080791726,-73.82091110963985,2.6668092811182533
1691262358799417000,565.4084169921875,2613.6955183763057,1.1898924257961514,22.26905757533509,4.976826243392956,2592.3747023362666,298.78314079996545,4.7414028012758935,3.3680315480769982,-73.82093183304946,2.6390137686011848
1691262359799397400,566.4083974609375,2613.8685798458755,1.1918144177377508,22.73381753694606,4.976836448943021,2592.5477638058364,297.7597993263189,4.741546600204717,3.3678291035733885,-73.8209521845951,2.5641396160271213
1691262360799376600,567.4083767089844,2613.799813767895,1.197705175287935,23.19787484115295,4.976846270276723,2592.478997727856,297.0604474931574,4.741624293945772,3.3677197163439985,-73.8209719873783,2.4903187899582044
1691262361799356400,568.4083564453125,2613.709494601004,1.2013100949430582,23.916637189666396,4.976856362319142,2592.3886785609648,297.7589179696969,4.7419996876774695,3.367191113503304,-73.82099004957168,2.4119562280291404
1691262362799336400,569.4083364257813,2613.9201011219993,1.1938428631291123,24.260019705075116,4.976867180386427,2592.5992850819603,299.35861229940474,4.741910069553898,3.3673173187349286,-73.82100831272561,2.387464688744162
1691262363799316500,570.40831640625,2613.991208053194,1.1869020162592907,24.23418339565663,4.976878947913584,2592.670392013155,301.29425851046847,4.741544981315731,3.367831382796418,-73.82102714718047,2.4001541397058386
1691262364799296300,571.4082961425781,2614.2702313978225,1.1807508867679284,23.75545593922404,4.976890774633124,2592.9494153577834,301.85019054916785,4.741835179599883,3.3674227774809884,-73.8210459170449,2.4562826241170135
1691262365799276000,572.4082761230469,2614.0103001659736,1.1866984102104063,23.18126606727554,4.976902990851698,2592.6894841259345,301.84651406262003,4.742084176567214,3.3670721250278675,-73.82106521245551,2.5419198994378815
1691262366799256800,573.4082568359376,2614.06392912101,1.1716567702545324,21.383616525220464,4.97691756451886,2592.743113080971,302.7061239635997,4.742271068458934,3.3668088965734584,-73.8210881579736,2.7995271741356476
1691262367799236400,574.408236328125,2613.523522869684,1.1848943080218588,21.021635774877982,4.976928828035803,2592.2027068296447,299.11693673880427,4.742444460275013,3.3665646546584664,-73.82111199697701,2.816805550920498
1691262368799216400,575.4082163085938,2613.4915931755677,1.2032489608803,20.809900795354103,4.97693797245588,2592.1707771355286,294.19702957958987,4.74153308714078,3.3678481284550315,-73.8211355733189,2.7804987847105846
1691262369799195600,576.4081955566406,2613.6629678485915,1.2159734463259173,20.42688812904781,4.976944380269822,2592.3421518085524,289.2893534508335,4.7420604234332515,3.367105577984879,-73.82115890276688,2.7503565817803337
1691262370799175700,577.40817578125,2613.6634967289865,1.2223300609536556,20.077636395098946,4.9769509440680615,2592.3426806889474,286.7187486587881,4.741381979160771,3.3680608605662585,-73.82118352936241,2.757826456555102
1691262371799155700,578.4081557617187,2613.758308256045,1.2134925909902146,19.565555692882445,4.976958867292759,2592.437492216006,286.34991459600195,4.741185952817706,3.3683367993110322,-73.82120818426863,2.8159529115567477
1691262372799135200,579.4081352539063,2613.808111153543,1.2257238982778444,18.94423550434336,4.97696386237336,2592.487295113504,283.23042042037366,4.740908930373843,3.3687266951610035,-73.82123343498971,2.8734147232096134
1691262373799115000,580.4081149902344,2613.8028430026025,1.2316264790132623,18.390133111193165,4.976969926765176,2592.4820269625634,281.830999494465,4.7404412291784634,3.369384808165107,-73.82126002530411,2.9462681745723587
1691262374799094800,581.4080947265625,2614.0058589484543,1.2215220009960774,16.973463429935645,4.976976957203346,2592.685042908415,282.103137595858,4.740777780987259,3.3689112579713867,-73.82128890991217,3.1974924756079774
1691262375799075600,582.4080756835938,2613.44542547781,1.2489384010132878,15.476877049827129,4.976980256409977,2592.124609437771,278.0113404433286,4.741185115121362,3.3683379784309766,-73.8213214696606,3.447456926250821
1691262376799054600,583.4080546875,2613.8995910556987,1.2375323876565152,15.685854914256696,4.976984657605164,2592.5787750156596,279.30625314465357,4.740587109923647,3.369179556808244,-73.82135236169897,3.435876706265175
1691262377799034000,584.4080341796875,2613.828688673675,1.226441375019728,15.602632746212752,4.976993611134275,2592.507872633636,282.29545658189346,4.7403542237546725,3.36950721413682,-73.82138360795388,3.4938526097868072
1691262378799014700,585.4080146484375,2613.6052665840834,1.250786986830706,15.563300092991163,4.976996942225463,2592.2844505440444,278.09785726147743,4.740957547312966,3.3686582740558686,-73.82141461638388,3.447347526575409
1691262379798994200,586.407994140625,2613.9767484487966,1.2430054167541973,15.634964251644899,4.976996316771453,2592.6559324087575,273.4082945123653,4.7407377130989445,3.3689676413391427,-73.82144452992902,3.377768092563946
1691262380798974700,587.407974609375,2613.580240048468,1.255969072727412,14.79997476474852,4.976997480737429,2592.259424008429,272.73687640990664,4.740887651903071,3.368756640783336,-73.82147857305966,3.5718090382783614
1691262381798954000,588.4079541015625,2613.9379095677286,1.2507913822575472,16.511836879464102,4.9769969258104885,2592.6170935276896,271.3435562153609,4.741534413715783,3.367846260793055,-73.82150340652197,3.20626155972503
1691262382798933500,589.40793359375,2613.946911082603,1.246428514952454,16.63969842834427,4.977002735939681,2592.626095042564,275.9036782274298,4.741704352841924,3.3676069935532555,-73.82153255627391,3.2017226899540394
1691262383798914000,590.4079140625,2614.0950554516166,1.241591888415274,16.802030940401693,4.97700700750113,2592.7742394115776,276.9723336047628,4.7418291293931185,3.367431297061268,-73.82156200928443,3.1771620848535624
1691262384798893800,591.4078937988281,2613.9278873270378,1.2340206129129452,16.87846341200581,4.977014969727641,2592.6070712869987,281.2738188850043,4.741305512384668,3.368168503952794,-73.82159116675216,3.21758234664156
1691262385798873900,592.4078737792969,2614.1659274175763,1.2326719574384608,17.97479122377441,4.977018295112809,2592.8451113775373,279.42011244199807,4.74071989335533,3.368992716752868,-73.8216162444046,2.989731372185857
1691262386798853600,593.407853515625,2613.8318045083433,1.2369457359031413,18.73719845732042,4.977024004561549,2592.5109884683043,281.88487910223034,4.740799939566168,3.3688800759003357,-73.82164048414523,2.8924316993934824
